NUTS_id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,region_id
CZ041,3.69,3.83,4.4,3.86,5.67,4.89,4.25,4.91,5.49,4.92,4.78,5.52,4.58,5.52,6.48,6.04,6.21,5.62,4.43,5.87,6.29,6.24,6.15,9
CZ063,4.3,4.94,4.36,3.84,5.61,4.87,4.22,4.87,5.46,4.82,4.7,5.47,4.57,5.49,6.43,6.01,6.17,5.62,5.58,5.83,6.25,6.23,6.17,10
CZ052,4.85,5.52,4.8,4.49,6.11,5.33,4.79,5.21,6.14,5.58,5.26,5.95,4.59,5.86,6.84,6.81,6.78,6.1,5.49,5.87,6.18,6.63,6.25,4
CZ051,4.07,4.01,4.49,4.02,5.76,4.98,4.42,4.95,5.65,5.09,4.91,5.58,4.46,5.59,6.54,6.24,6.36,5.71,5.52,5.83,6.21,6.32,6.11,3
CZ080,4.52,4.51,4.56,4.04,5.84,5.08,4.52,5,5.78,5.26,4.98,5.64,4.35,5.6,6.52,6.34,6.42,5.75,5.45,5.8,6.09,6.33,6.09,7
CZ071,5.41,5.58,4.93,4.47,6.28,5.47,4.96,5.38,6.31,5.8,5.37,6.16,4.63,5.98,6.98,6.96,6.9,6.22,5.62,5.96,6.27,6.77,6.44,8
CZ053,4.62,4.76,4.67,4.21,5.95,5.16,4.61,5.09,5.88,5.36,5.08,5.77,4.5,5.72,6.7,6.5,6.56,5.89,5.58,5.9,6.22,6.49,6.23,6
CZ032,4.23,4.48,4.48,3.84,5.77,4.94,4.36,4.9,5.53,5.03,4.86,5.52,4.4,5.55,6.5,6.13,6.28,5.58,5.58,5.89,6.28,6.27,6.1,12
CZ020,4.34,5.11,4.78,4.35,6.09,5.3,4.77,5.18,6.08,5.57,5.23,5.92,4.53,5.85,6.83,6.75,6.75,6.04,5.54,5.89,6.21,6.61,6.27,1
CZ072,4.72,4.81,4.74,4.25,6.03,5.22,4.66,5.06,6.07,5.52,5.26,5.97,4.3,5.87,6.72,6.74,6.78,5.91,5.4,5.77,6.14,6.6,6.19,13
CZ042,3.92,4.49,4.81,4.47,6.13,5.36,4.83,5.23,6.2,5.71,5.34,5.99,4.54,5.9,6.9,6.91,6.85,6.14,5.49,5.88,6.16,6.67,6.26,2
CZ064,3.81,5.31,4.63,3.98,6.04,5.13,4.5,4.63,5.85,5.24,5.11,5.78,3.28,5.83,6.06,6.35,6.57,5,4.98,5.28,6.05,6.41,5.8,11
CZ031,4.1,4.66,4.38,3.81,5.64,4.87,4.23,4.87,5.47,4.86,4.74,5.48,4.53,5.51,6.44,6.03,6.18,5.57,5.58,5.84,6.28,6.23,6.12,5
CZ010,4.49,5.4,4.83,4.7,7.5,5.7,5.4,4.7,6.6,6.52,5.75,6.3,5.13,6.24,7.4,7.69,7.35,6.41,5.3,5.97,6.7,7.11,5.74,14
